Position	Sample	Noise	Reads
1	SWIFT25207647	NA	0
2	SWIFT25207647	NA	0
3	SWIFT25207647	NA	0
4	SWIFT25207647	NA	0
5	SWIFT25207647	NA	0
6	SWIFT25207647	NA	0
7	SWIFT25207647	NA	0
8	SWIFT25207647	NA	0
9	SWIFT25207647	NA	0
10	SWIFT25207647	NA	0
11	SWIFT25207647	NA	0
12	SWIFT25207647	NA	0
13	SWIFT25207647	NA	0
14	SWIFT25207647	NA	0
15	SWIFT25207647	NA	0
16	SWIFT25207647	NA	0
17	SWIFT25207647	NA	0
18	SWIFT25207647	NA	0
19	SWIFT25207647	NA	0
20	SWIFT25207647	NA	0
21	SWIFT25207647	NA	0
22	SWIFT25207647	NA	0
23	SWIFT25207647	NA	0
24	SWIFT25207647	NA	0
25	SWIFT25207647	0	1245
26	SWIFT25207647	0	1245
27	SWIFT25207647	0.000803858520900322	1245
28	SWIFT25207647	0	1245
29	SWIFT25207647	0.000801924619085806	1248
30	SWIFT25207647	0	1252
31	SWIFT25207647	0	1253
32	SWIFT25207647	0	1253
33	SWIFT25207647	0	1253
34	SWIFT25207647	0	1253
35	SWIFT25207647	0	1253
36	SWIFT25207647	0	1253
37	SWIFT25207647	0	1253
38	SWIFT25207647	0	1253
39	SWIFT25207647	0	1253
40	SWIFT25207647	0	1253
41	SWIFT25207647	0.0178716490658002	1253
42	SWIFT25207647	0	1253
43	SWIFT25207647	0.000798722044728434	1253
44	SWIFT25207647	0	1253
45	SWIFT25207647	0	1253
46	SWIFT25207647	0	1253
47	SWIFT25207647	0	1253
48	SWIFT25207647	0	1253
49	SWIFT25207647	0	1253
50	SWIFT25207647	0	1253
51	SWIFT25207647	0.000798722044728434	1253
52	SWIFT25207647	0.00159872102318145	1253
53	SWIFT25207647	0	1253
54	SWIFT25207647	0	1253
55	SWIFT25207647	0	1253
56	SWIFT25207647	0	1253
57	SWIFT25207647	0	14657
58	SWIFT25207647	6.82128240109141e-05	14661
59	SWIFT25207647	0	14662
60	SWIFT25207647	0.000204638472032742	14663
61	SWIFT25207647	6.81709727997819e-05	14670
62	SWIFT25207647	0.000272683891199127	14673
63	SWIFT25207647	0.000886585282684307	14676
64	SWIFT25207647	0.000136286201022146	14677
65	SWIFT25207647	6.81384573453257e-05	14677
66	SWIFT25207647	6.81384573453257e-05	14677
67	SWIFT25207647	6.81384573453257e-05	14677
68	SWIFT25207647	0.000477164280845262	14677
69	SWIFT25207647	0.000136286201022146	14677
70	SWIFT25207647	0.000408970077022698	14677
71	SWIFT25207647	0.000136286201022146	14677
72	SWIFT25207647	6.81384573453257e-05	14677
73	SWIFT25207647	0.00020444323292899	14677
74	SWIFT25207647	0.000408970077022698	14677
75	SWIFT25207647	0.00699828473413379	14677
76	SWIFT25207647	0.000613580583583311	14677
77	SWIFT25207647	0.000818274803954995	14677
78	SWIFT25207647	0.000818274803954995	14677
